"","x"
"4074","PC32:1/PCO36:2"
"4075","PC32:1/PCO36:3"
"4076","PC32:1/PCO38:4"
"4077","PC32:1/PCO40:4"
"4078","PC32:1/PCO40:6"
"4079","PC32:2/PC36:2"
"4080","PC32:2/PC36:3"
"4081","PC32:2/PC38:3"
"4082","PC34:2/PC36:3"
"4083","PC34:2/PC38:3"
"4084","PC34:2/PCO38:3"
"4085","PC36:1/PC34:1"
"4086","PC36:1/PC34:2"
"4087","PC36:1/PC34:3"
"4088","PC36:1/PC36:3"
"4089","PC36:3/PC34:2"
"4090","PC36:3/PC34:3"
"4091","PC36:3/PC36:2"
"4092","PC36:3/PCO34:2"
"4093","PC36:3/PCO36:2"
"4094","PC38:3/PC32:0"
"4095","PC38:3/PC32:2"
"4096","PC38:3/PC34:1"
"4097","PC38:3/PC34:2"
"4098","PC38:3/PC34:3"
"4099","PC38:3/PC36:1"
"4100","PC38:3/PC36:2"
"4101","PC38:3/PC36:3"
"4102","PC38:3/PC36:4"
"4103","PC38:3/PC38:5"
"4104","PC38:3/PC40:5"
"4105","PC38:3/PC40:7"
"4106","PC38:3/PCO32:0"
"4107","PC38:3/PCO34:1"
"4108","PC38:3/PCO34:2"
"4109","PC38:3/PCO34:3"
"4110","PC38:3/PCO36:1"
"4111","PC38:3/PCO36:2"
"4112","PC38:3/PCO36:3"
"4113","PC40:3/PC40:4"
"4114","PC40:3/PC40:5"
"4115","PE(34:2)_CE(20:4)"
"4116","PE34:1/PE34:2"
"4117","PE34:1/PE34:3"
"4118","PE34:1/PE36:2"
"4119","PE34:1/PE36:3"
"4120","PE34:1/PE36:4"
"4121","PE34:1/PE36:5"
"4122","PE34:1/PE38:3"
"4123","PE34:1/PE38:4"
"4124","PE34:1/PE38:5"
"4125","PE34:1/PE38:6"
"4126","PE34:1/PE40:5"
"4127","PE34:1/PEO40:3"
"4128","PE36:1/PE34:2"
"4129","PE36:1/PE34:3"
"4130","PE36:1/PE36:2"
"4131","PE36:1/PE36:3"
"4132","PE36:1/PE36:4"
"4133","PE36:1/PE36:5"
"4134","PE36:1/PE38:3"
"4135","PE36:1/PE38:4"
"4136","PE36:1/PE38:5"
"4137","PE36:1/PEO40:3"
"4138","PE38:3/PE34:2"
"4139","PE38:3/PE34:3"
"4140","PE38:3/PE36:2"
"4141","PE38:3/PE36:3"
"4142","Phe/Tyr"
"4143","Phe/Val"
"4144","phenyllactate (PLA)_phenylalanine"
"4145","phosphate_1,5-anhydroglucitol (1,5-AG)"
"4146","phosphate_erythronate*"
"4147","POA_PA"
"4148","POA_PA_GLA_LA"
"4149","propionylcarnitine_isovalerylcarnitine"
"4150","pseudouridine_X-12244--N-acetylcarnosine"
"4151","Ratio of polyunsaturated fatty acids to monounsaturated fatty acids"
"4152","Ratio of polyunsaturated fatty acids to total fatty acids"
"4153","Riboflavin/3-Indolepropionic acid"
"4154","Cholesterol to total lipids ratio in small HDL"
"4155","Cholesteryl esters to total lipids ratio in small HDL"
"4156","Free cholesterol to total lipids ratio in small HDL"
"4157","Phospholipids to total lipids ratio in small HDL"
"4158","Triglycerides to total lipids ratio in small HDL"
"4159","Cholesterol to total lipids ratio in small LDL"
"4160","Cholesteryl esters to total lipids ratio in small LDL"
"4161","Free cholesterol to total lipids ratio in small LDL"
"4162","Phospholipids to total lipids ratio in small LDL"
"4163","Triglycerides to total lipids ratio in small LDL"
"4164","Cholesterol to total lipids ratio in small VLDL"
"4165","Cholesteryl esters to total lipids ratio in small VLDL"
"4166","Free cholesterol to total lipids ratio in small VLDL"
"4167","Phospholipids to total lipids ratio in small VLDL"
"4168","Triglycerides to total lipids ratio in small VLDL"
"4169","Sarcosine/Glycine"
"4170","scyllo-inositol_erythronate*"
"4171","serine_asparagine"
"4172","Serum-TG/Glc"
"4173","Ratio of saturated fatty acids to total fatty acids"
"4174","SM (d18:2/18:1)"
"4175","SM(32:1)_SM(39:1)"
"4176","SM(42:1)_TG(48:2)"
"4177","sphingomyelin (d18:1/15:0, d16:1/17:0)"
"4178","SPM22:0/sphingomyelin 16:1 (SM 16:1)"
"4179","SPM22:0/SPM24:2"
"4180","SPM23:0/sphingomyelin 16:1 (SM 16:1)"
"4181","SPM23:0/SPM16:0"
"4182","SPM24:0/sphingomyelin 16:1 (SM 16:1)"
"4183","SPM24:0/SPM24:2"
"4184","stearate (18:0)_biliverdin"
"4185","TG(48:1)_TG(54:5)"
"4186","TG(52:5)_TG(52:4)"
"4187","TG(54:3)_TG(52:3)"
"4188","TG(54:5)_CE(18:2)"
"4189","TG/PG"
"4190","Ratio of triglycerides to phosphoglycerides"
"4191","Tot-C/Est-C"
"4192","Trans/trans-18:2"
"4193","Tyr/Val"
"4194","urate_histidine"
"4195","urate_X-11593--O-methylascorbate*"
"4196","Val/Serum-TG"
"4197","valine_isovalerylcarnitine"
"4198","valine_proline"
"4199","valine_X-12556"
"4200","X-03094_bradykinin, des-arg(9)"
"4201","X-04495_2-aminobutyrate"
"4202","X-04499--3,4-dihydroxybutyrate_C-glycosyltryptophan*"
"4203","X-08402_cholesterol"
"4204","X-10510_palmitoyl sphingomyelin"
"4205","X-11315_pyroglutamine*"
"4206","X-11423--O-sulfo-L-tyrosine_creatinine"
"4207","X-11440_4-androsten-3beta,17beta-diol disulfate 2*"
"4208","X-11444_X-11470"
"4209","X-11444_X-12844"
"4210","X-11478_X-11521"
"4211","X-11820_cholesterol"
"4212","X-12038_bradykinin, des-arg(9)"
"4213","X-12095--N1-methyl-3-pyridone-4-carboxamide_X-12844"
"4214","X-12798_phenylalanine"
"4215","X-13215_X-13671"
"4216","Cholesterol to total lipids ratio in very large HDL"
"4217","Cholesteryl esters to total lipids ratio in very large HDL"
"4218","Free cholesterol to total lipids ratio in very large HDL"
"4219","Phospholipids to total lipids ratio in very large HDL"
"4220","Triglycerides to total lipids ratio in very large HDL"
"4221","Cholesterol to total lipids ratio in very large VLDL"
"4222","Cholesteryl esters to total lipids ratio in very large VLDL"
"4223","Free cholesterol to total lipids ratio in very large VLDL"
"4224","Phospholipids to total lipids ratio in very large VLDL"
"4225","Triglycerides to total lipids ratio in very large VLDL"
"4226","XL-HDL-L/L-HDL-L"
"4227","XL-HDL-L/M-HDL-L"
"4228","XL-HDL-L/S-HDL-L"
"4229","Cholesterol to total lipids ratio in very small VLDL"
"4230","Cholesteryl esters to total lipids ratio in very small VLDL"
"4231","Free cholesterol to total lipids ratio in very small VLDL"
"4232","Phospholipids to total lipids ratio in very small VLDL"
"4233","Triglycerides to total lipids ratio in very small VLDL"
"4234","Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL"
"4235","Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL"
"4236","Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL"
"4237","Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL"
"4238","Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL"
